Chemical Formula X2YZ,X,Y,Z,Structure Type,Total Energy Difference (eV),Formation Energy (eV),Lattice Constant (Ang),Anomalous Hall Conductivity (S/cm),Curie Temperature (K),Fermi Level (eV),Polarization,Magnetic Moments of X1 (muB),Magnetic Moments of X2 (muB),Magnetic Moments of Y (muB),Magnetic Moments of Z (muB),Total Magnetic Moments (muB),Number of Valence Electrons
Rh2YBi,Rh,Y,Bi,l21,1.384984,-0.50921925,6.77905251,82.2901,0,8.46,0.000277,0,0,0,0,0,26
Rh2YGa,Rh,Y,Ga,l21,1.747055,-0.79331775,6.447384075,17.3929,0,7.3387,0.00023,0,0,0,0,0,24
Rh2YGe,Rh,Y,Ge,l21,1.430576,-0.669459,6.458571918,546.7742,0,8.1401,0.033995,0,0,0,0,0,25
Rh2YIn,Rh,Y,In,l21,1.94112,-0.7457915,6.638073803,5.4325,0,7.791,0.000169,0,0,0,0,0,24
Rh2YPb,Rh,Y,Pb,l21,1.603701,-0.52704725,6.728104052,19.6418,0,7.8693,0.00237,0,0,0,0,0,25
Rh2YSb,Rh,Y,Sb,l21,1.591333,-0.69375625,6.651197705,64.1926,0,9.2944,0.000134,0,0,0,0,0,26
Rh2YSi,Rh,Y,Si,l21,1.689263,-0.6960745,6.38250137,569.8867,0,9.0276,0.375561,0,0,0,0,0,25
Rh2YSn,Rh,Y,Sn,l21,1.913436,-0.763191,6.641504685,115.4633,0,8.1041,0.120797,0,0,0,0,0,25
Rh2ZnAl,Rh,Zn,Al,l21,1.853192,-0.774161,6.007522644,1.6007,0,8.8538,0,0,0,0,0,0,23
Rh2ZnAs,Rh,Zn,As,l21,1.168283,-0.285698,6.107233186,367.0283,55.5015,9.2277,0.027448,0.253,0.253,0,0.031,0.537,25
Rh2ZnB,Rh,Zn,B,l21,2.13756,-0.043952,5.730741251,1.4495,0,9.02,0.000181,0,0,0,0,0,23
Rh2ZnBi,Rh,Zn,Bi,l21,0.954939,-0.1071025,6.439574787,194.4774,0,9.0517,0.286377,0.098,0.098,0.001,0.008,0.205,25
Rh2ZnGa,Rh,Zn,Ga,l21,1.726158,-0.6200645,6.029533464,2.3775,0,7.5676,0.000044,0,0,0,0,0,23
Rh2ZnGe,Rh,Zn,Ge,l21,1.730598,-0.48647125,6.055682273,0.1469,0,9.0434,0,0,0,0,0,0,24
Rh2ZnIn,Rh,Zn,In,l21,1.374578,-0.44493775,6.258278265,0.9579,0,7.8982,0.000058,0,0,0,0,0,23
Rh2ZnPb,Rh,Zn,Pb,l21,1.292955,-0.15916225,6.375481214,2.2126,0,8.4354,0.000212,0,0,0,0,0,24
Rh2ZnSb,Rh,Zn,Sb,l21,1.341289,-0.343596,6.296961249,12.2446,0,10.1064,0.005065,0.001,0.001,0,0,0.002,25
Rh2ZnSi,Rh,Zn,Si,l21,2.065371,-0.63044375,5.946364979,1.1799,0,10.4732,0.004229,0,0,0,0,0,24
Rh2ZnSn,Rh,Zn,Sn,l21,1.528768,-0.476151,6.259633082,1.3052,0,8.9936,0.00186,0,0,0,0,0,24
Rh2ZrAl,Rh,Zr,Al,l21,2.207036,-0.95153525,6.324619024,6.8768,0,10.8911,0.000702,0,0,0,0,0,25
Rh2ZrAs,Rh,Zr,As,l21,0.5316,-0.53701375,6.387838612,8.2597,0,10.6032,0.000556,0,0,0,0,0,27
Rh2ZrB,Rh,Zr,B,l21,1.044709,-0.1665685,6.074699203,6.584,0,11.0069,0.000399,0,0,0,0,0,25
Rh2ZrBi,Rh,Zr,Bi,l21,1.062802,-0.40530875,6.665478433,1.1222,0,10.6061,0,0,0,0,0,0,27
Rh2ZrGa,Rh,Zr,Ga,l21,1.776029,-0.84864125,6.325190366,5.8874,0,9.8134,0.004068,0.001,0.001,0,0,0.002,25
Rh2ZrGe,Rh,Zr,Ge,l21,1.167556,-0.687362,6.347362406,10.9636,0,10.5082,0.000677,0,0,0,0,0,26
Rh2ZrIn,Rh,Zr,In,l21,2.001811,-0.74638225,6.509492092,19.2526,0,10.0588,0.185136,0.055,0.055,-0.001,0.006,0.115,25
Rh2ZrPb,Rh,Zr,Pb,l21,1.405641,-0.460857,6.601263238,4.2625,0,10.086,0.003588,0.001,0.001,0,0,0.002,26
Rh2ZrSb,Rh,Zr,Sb,l21,1.155576,-0.625678,6.535901116,3.7794,0,11.6647,0,0,0,0,0,0,27
Rh2ZrSi,Rh,Zr,Si,l21,1.36354,-0.752861,6.275951692,3.848,0,11.5149,0.002656,0.003,0.003,0,0,0.006,26
Rh2ZrSn,Rh,Zr,Sn,l21,1.68069,-0.742928,6.521675541,13.4451,0,10.395,0.000329,0,0,0,0,0,26
Ru2AgAl,Ru,Ag,Al,xa,-0.100056,0.1612955,6.1875987,14.1705,0,10.8671,0.004913,0.003,0.001,0,0,0.004,20
Ru2AgAs,Ru,Ag,As,l21,0.759367,0.34430925,6.18611519,22.9918,0,10.862,0.044953,0.037,0.037,0.008,-0.002,0.08,22
Ru2AgB,Ru,Ag,B,l21,0.398172,0.858516,5.904195959,4.8492,0,10.8237,0.000688,0.001,0.001,0,0,0.002,20
Ru2AgBi,Ru,Ag,Bi,l21,0.654919,0.5347245,6.485965235,103.0473,0,10.4654,0.211137,0.069,0.069,0.012,-0.005,0.145,22
Ru2AgGa,Ru,Ag,Ga,xa,-0.060137,0.2852685,6.203272429,415.2104,0,9.584,0.187634,0.153,0.055,-0.003,0.004,0.209,20
Ru2AgGe,Ru,Ag,Ge,l21,0.641803,0.2795785,6.17250197,3.5404,0,10.3225,0.000223,0,0,0,0,0,21
Ru2AgIn,Ru,Ag,In,xa,-0.235931,0.39750625,6.392074182,292.3387,0,9.8958,0.379108,0.148,0.061,-0.003,0,0.206,20
Ru2AgPb,Ru,Ag,Pb,l21,0.308601,0.600228,6.467453179,298.4323,114.002,9.6099,0.480507,0.628,0.628,0.087,-0.034,1.309,21
Ru2AgSb,Ru,Ag,Sb,l21,1.001466,0.2564465,6.358571463,64.071,0,11.5197,0.050042,0.063,0.063,0.013,-0.003,0.136,22
Ru2AgSi,Ru,Ag,Si,l21,0.856139,0.15298325,6.085464196,10.0503,0,11.4899,0.00509,0.004,0.004,0.001,0,0.009,21
Ru2AgSn,Ru,Ag,Sn,l21,0.429936,0.2962595,6.375751329,45.1393,117.002,9.9308,0.410556,0.5,0.5,0.08,-0.03,1.05,21
Ru2AuAl,Ru,Au,Al,l21,0.212862,0.0517075,6.191629209,1.9585,0,10.5328,0.002731,0.001,0.001,0,0,0.002,20
Ru2AuAs,Ru,Au,As,l21,0.926061,0.3012045,6.235724387,57.4036,0,10.7111,0.00272,0.003,0.003,0.001,0,0.007,22
Ru2AuB,Ru,Au,B,l21,0.832555,0.7725325,5.959736368,6.6904,0,10.6986,0.002646,0.002,0.002,0,0,0.004,20
Ru2AuBi,Ru,Au,Bi,l21,0.811333,0.48023875,6.517090661,165.0209,0,10.4497,0.241993,0.226,0.226,0.048,-0.015,0.485,22
Ru2AuGa,Ru,Au,Ga,l21,0.364779,0.171011,6.203474661,75.3224,0,9.3622,0.037827,0.048,0.048,0.011,-0.002,0.105,20
Ru2AuGe,Ru,Au,Ge,l21,0.934677,0.21313575,6.213522649,1.2169,0,10.2827,0.000338,0,0,0,0,0,21
Ru2AuIn,Ru,Au,In,l21,0.144166,0.33621825,6.408165104,411.6644,0,9.5099,0.048821,0.301,0.301,0.052,-0.011,0.643,20
Ru2AuPb,Ru,Au,Pb,l21,0.667444,0.519179,6.488377883,276.2691,114.002,9.6389,0.218835,0.646,0.646,0.118,-0.034,1.376,21
Ru2AuSb,Ru,Au,Sb,l21,1.117354,0.23198125,6.397182321,130.1426,0,11.4532,0.035428,0.103,0.103,0.024,-0.005,0.225,22
Ru2AuSi,Ru,Au,Si,l21,1.049622,0.1058275,6.130707717,1.827,0,11.4344,0,0,0,0,0,0,21
Ru2AuSn,Ru,Au,Sn,l21,0.712018,0.2208045,6.390906042,5.5295,0,10.0791,0.001365,0.001,0.001,0,0,0.002,21
Ru2CdAl,Ru,Cd,Al,l21,0.514541,0.079469,6.247330838,267.0491,0,8.2126,0.10211,0.466,0.466,0.014,-0.013,0.933,21
Ru2CdAs,Ru,Cd,As,l21,1.075173,0.262078,6.261034568,2.2246,0,8.6972,0,0,0,0,0,0,23
Ru2CdB,Ru,Cd,B,l21,0.49737,0.855371,5.994156912,645.8373,0,8.2229,0.141076,0.453,0.453,0.02,-0.03,0.896,21
Ru2CdBi,Ru,Cd,Bi,l21,1.198913,0.40430425,6.556756523,9.4111,0,8.7318,0.000239,0,0,0,0,0,23
Ru2CdGa,Ru,Cd,Ga,l21,0.486471,0.199969,6.261057195,54.0472,142.502,7.1014,0.284489,0.571,0.571,0.013,-0.029,1.126,21
Ru2CdGe,Ru,Cd,Ge,l21,1.149823,0.20147325,6.247340738,277.3447,0,8.1448,0.44429,0.198,0.198,0.003,-0.012,0.387,22
Ru2CdIn,Ru,Cd,In,l21,0.366457,0.31867875,6.463189325,494.7808,150.002,7.5447,0.685418,0.65,0.65,0.006,-0.031,1.275,21
Ru2CdPb,Ru,Cd,Pb,l21,0.984806,0.47235625,6.526923688,1.7372,0,7.791,0.010715,0.002,0.002,0,0,0.004,22
Ru2CdSb,Ru,Cd,Sb,l21,1.698131,0.1468845,6.425069199,17.735,0,9.6997,0,0,0,0,0,0,23
Ru2CdSi,Ru,Cd,Si,l21,1.431472,0.0864935,6.156126791,60.8214,0,9.2179,0.092533,0.175,0.175,0.005,-0.009,0.346,22
Ru2CdSn,Ru,Cd,Sn,l21,1.200627,0.16761375,6.434456748,324.8433,0,8.0807,0.453682,0.161,0.161,0,-0.01,0.312,22
Ru2CoAl,Ru,Co,Al,l21,0.327876,-0.13609375,5.929931817,244.2634,118.502,10.7311,0.288989,0.257,0.257,1.589,0.009,2.112,28
Ru2CoAs,Ru,Co,As,l21,0.966633,0.07465525,5.963812132,586.2466,280.502,11.2026,0.091902,0.439,0.439,1.672,-0.009,2.541,30
Ru2CoB,Ru,Co,B,l21,1.268624,0.2485165,5.614610276,34.627,139.502,11.3324,0.702778,-0.006,-0.006,0.174,0.002,0.164,28
Ru2CoBi,Ru,Co,Bi,l21,0.52649,0.4883045,6.303871096,111.7603,372.002,10.6926,0.583544,0.519,0.519,1.884,-0.02,2.902,30
Ru2CoGa,Ru,Co,Ga,l21,0.330053,0.00219,5.940808534,151.899,72.0015,9.4372,0.343498,0.134,0.134,1.271,0.011,1.55,28
Ru2CoGe,Ru,Co,Ge,l21,0.797191,-0.0137845,5.943489883,60.4289,225.002,10.5761,0.267356,0.273,0.273,1.452,0.003,2.001,29
Ru2CoIn,Ru,Co,In,xa,-0.047875,0.32647275,6.209520424,331.6176,358.502,9.6819,0.282505,1.439,0.611,1.54,-0.057,3.533,28
Ru2CoPb,Ru,Co,Pb,l21,0.402305,0.5304485,6.281423285,515.0238,451.502,9.6142,0.532084,0.632,0.632,1.999,-0.009,3.254,29
Ru2CoSb,Ru,Co,Sb,l21,0.797202,0.12612675,6.170078008,307.1961,415.502,11.827,0.654412,0.5,0.5,1.857,-0.01,2.847,30
Ru2CoSi,Ru,Co,Si,l21,1.055029,-0.2293055,5.847689642,25.1995,211.502,11.89,0.249003,0.249,0.249,1.411,0.004,1.913,29
Ru2CoSn,Ru,Co,Sn,l21,0.405347,0.1581225,6.187423337,627.8235,433.502,9.9684,0.512977,0.583,0.583,1.995,-0.003,3.158,29
Ru2CrAl,Ru,Cr,Al,l21,1.572132,-0.332568,5.959889103,156.7331,0,11.194,0.930488,-0.127,-0.127,1.303,-0.005,1.044,25
Ru2CrAs,Ru,Cr,As,l21,1.108458,-0.01221925,6.032951618,224.956,0,11.6869,0.868931,0.014,0.014,2.679,0.047,2.754,27
Ru2CrB,Ru,Cr,B,l21,1.707639,0.1331535,5.688228577,7.9773,0,11.5562,0.91555,-0.121,-0.121,1.299,0.013,1.07,25
Ru2CrBi,Ru,Cr,Bi,l21,1.262211,0.3667775,6.362824003,279.1899,0,11.124,0.976139,-0.037,-0.037,2.883,0.001,2.81,27
Ru2CrGa,Ru,Cr,Ga,l21,1.434706,-0.18450375,5.983816182,69.4816,0,9.7692,0.833901,-0.172,-0.172,1.453,-0.014,1.095,25
Ru2CrGe,Ru,Cr,Ge,l21,1.587371,-0.19390025,6.002673306,51.812,0,10.9669,0.648339,-0.147,-0.147,2.214,0.006,1.926,26
Ru2CrIn,Ru,Cr,In,l21,1.064897,0.15947725,6.212870696,84.9236,0,9.8416,0.888424,-0.272,-0.272,1.765,-0.037,1.184,25
Ru2CrPb,Ru,Cr,Pb,l21,1.346127,0.34038825,6.315539773,15.384,0,10.1094,0.629692,-0.251,-0.251,2.487,-0.019,1.966,26
Ru2CrSb,Ru,Cr,Sb,l21,1.348908,0.015641,6.230681302,232.1434,0,12.2417,0.984729,0.019,0.019,2.801,0.009,2.848,27
Ru2CrSi,Ru,Cr,Si,l21,1.725516,-0.393633,5.911634722,170.7685,0,12.225,0.527267,-0.113,-0.113,2.137,0.008,1.919,26
Ru2CrSn,Ru,Cr,Sn,l21,1.546816,-0.03528775,6.220872317,87.7309,0,10.4824,0.813995,-0.196,-0.196,2.357,-0.016,1.949,26
Ru2CuAl,Ru,Cu,Al,l21,0.104234,-0.07298675,5.962208413,0.4775,0,10.0681,0,0,0,0,0,0,20
Ru2CuAs,Ru,Cu,As,l21,1.119331,0.06050225,5.97785103,33.1233,0,10.6184,0.048623,0.143,0.143,0.053,-0.008,0.331,22
Ru2CuB,Ru,Cu,B,l21,1.089984,0.372237,5.659337609,3.3931,0,10.6649,0,0,0,0,0,0,20
Ru2CuBi,Ru,Cu,Bi,l21,0.679134,0.43595825,6.320793576,1.7028,0,10.0742,0.0131,0.002,0.002,0.001,0,0.005,22
Ru2CuGa,Ru,Cu,Ga,l21,0.14386,0.0558545,5.980963714,11.531,0,8.7747,0.000418,0,0,0,0,0,20
Ru2CuGe,Ru,Cu,Ge,l21,0.892631,0.01200425,5.975397369,33.6847,0,9.9188,0.052094,0.017,0.017,0.005,-0.001,0.038,21
Ru2CuIn,Ru,Cu,In,xa,-0.245701,0.277962,6.221524269,1.7947,0,9.4964,0.002113,0.001,0.001,0,0,0.002,20
Ru2CuPb,Ru,Cu,Pb,l21,0.295679,0.50943,6.305165102,376.1765,114.002,9.1318,0.567827,0.572,0.572,0.145,-0.021,1.268,21
Ru2CuSb,Ru,Cu,Sb,l21,1.080583,0.084654,6.184874925,44.8573,0,11.1734,0.097129,0.054,0.054,0.022,-0.003,0.127,22
Ru2CuSi,Ru,Cu,Si,l21,1.228832,-0.19454425,5.876111092,0.3313,0,11.2036,0,0,0,0,0,0,21
Ru2CuSn,Ru,Cu,Sn,l21,0.489161,0.15303775,6.207722959,130.5932,111.002,9.4408,0.405019,0.464,0.464,0.131,-0.021,1.038,21
Ru2FeAl,Ru,Fe,Al,l21,1.024145,-0.2837095,5.95902219,99.5598,0,10.9105,0.669204,0.17,0.17,2.727,0.009,3.076,27
Ru2FeAs,Ru,Fe,As,l21,1.041562,0.016931,6.010202579,1002.4564,379.502,11.4952,0.753627,0.534,0.534,3.024,0.021,4.113,29
Ru2FeB,Ru,Fe,B,l21,1.592179,0.17193575,5.663464284,117.5092,0,11.6201,0.546063,0.122,0.122,2.442,0.051,2.737,27
Ru2FeBi,Ru,Fe,Bi,l21,0.87759,0.39278,6.346287604,811.8682,397.502,11.0617,0.629539,0.615,0.615,3.156,-0.001,4.385,29
Ru2FeGa,Ru,Fe,Ga,l21,0.968606,-0.1404005,5.980444697,34.2303,0,9.5974,0.657098,0.178,0.178,2.755,0.017,3.128,27
Ru2FeGe,Ru,Fe,Ge,l21,1.213632,-0.13187,5.993793459,716.0604,250.502,10.7071,0.737126,0.446,0.446,3.013,0.016,3.921,28
Ru2FeIn,Ru,Fe,In,l21,0.621487,0.185284,6.216090861,167.9557,0,9.6592,0.694957,0.192,0.192,2.902,-0.005,3.281,27
Ru2FePb,Ru,Fe,Pb,l21,0.895794,0.38075375,6.311844432,257.5704,364.502,9.8099,0.623057,0.537,0.537,3.152,-0.01,4.216,28
Ru2FeSb,Ru,Fe,Sb,l21,1.09554,0.03325075,6.207390619,612.1931,426.002,12.2306,0.686266,0.586,0.586,3.105,0.008,4.285,29
Ru2FeSi,Ru,Fe,Si,l21,1.418217,-0.34154225,5.896980641,973.2151,295.502,12.0284,0.613982,0.401,0.401,2.942,0.018,3.762,28
Ru2FeSn,Ru,Fe,Sn,l21,1.056456,0.00505375,6.218212181,240.035,487.502,10.1621,0.555458,0.501,0.501,3.139,-0.001,4.14,28
Ru2HfAl,Ru,Hf,Al,l21,2.583628,-0.72180175,6.256586866,2.2872,0,8.9358,0,0,0,0,0,0,23
Ru2HfAs,Ru,Hf,As,l21,1.548284,-0.34899325,6.307055905,705.3335,87.0015,10.1014,0.925944,0.352,0.352,-0.023,0.038,0.719,25
Ru2HfB,Ru,Hf,B,l21,1.460558,0.0118195,6.015054746,5.981,0,8.7903,0.005637,0.001,0.001,0,0,0.002,23
Ru2HfBi,Ru,Hf,Bi,l21,1.981761,-0.11538375,6.582530565,317.5338,127.502,10.1527,0.963894,0.434,0.434,-0.034,0.017,0.851,25
Ru2HfGa,Ru,Hf,Ga,l21,2.181715,-0.590017,6.267934516,4.8841,0,7.7794,0.000637,0.001,0.001,0,0,0.002,23
Ru2HfGe,Ru,Hf,Ge,l21,2.576742,-0.63584425,6.251630047,0.0002,0,9.8341,0.001062,0,0,0,0,0,24
Ru2HfIn,Ru,Hf,In,l21,2.309125,-0.40913425,6.46099588,6.8008,0,8.2453,0.000921,0,0,0,0,0,23
Ru2HfPb,Ru,Hf,Pb,l21,2.566303,-0.256438,6.517065205,0.2193,0,9.4311,0.010098,0,0,0,0,0,24
Ru2HfSb,Ru,Hf,Sb,l21,2.201659,-0.40587825,6.461367818,368.6195,189.002,11.0972,0.976301,0.496,0.496,-0.042,0.022,0.972,25
Ru2HfSi,Ru,Hf,Si,l21,2.857911,-0.7711015,6.175282314,0,0,10.7285,0.003508,0,0,0,0,0,24
Ru2HfSn,Ru,Hf,Sn,l21,2.908116,-0.60655275,6.43576631,1.0004,0,9.6823,0.00171,0,0,0,0,0,24
Ru2IrAl,Ru,Ir,Al,xa,-0.007465,-0.048803,6.114881253,258.3082,252.002,10.8298,0.274948,1.224,0.525,0.373,0.007,2.129,28
Ru2IrAs,Ru,Ir,As,l21,0.423119,0.322456,6.165043408,385.1809,88.5015,10.7389,0.087358,0.534,0.534,0.283,-0.007,1.344,30
Ru2IrB,Ru,Ir,B,l21,0.193266,0.63483925,5.888848913,133.2939,0,10.755,0.011214,0.021,0.021,0.069,0.002,0.113,28
Ru2IrBi,Ru,Ir,Bi,l21,0.387899,0.599807,6.433783583,1244.6731,150.002,10.6557,0.16794,0.623,0.623,0.33,-0.025,1.551,30
Ru2IrGa,Ru,Ir,Ga,l21,0.128429,0.0897295,6.118167885,294.2874,0,9.5274,0.346109,0.05,0.05,0.192,0.001,0.293,28
Ru2IrGe,Ru,Ir,Ge,l21,0.382268,0.19946925,6.134117386,768.8252,0,10.4401,0.07874,0.191,0.191,0.203,0,0.585,29
Ru2IrIn,Ru,Ir,In,l21,0.108672,0.3276815,6.299850487,34.9949,0,9.8509,0.399893,0.039,0.039,0.168,0.001,0.247,28
Ru2IrPb,Ru,Ir,Pb,l21,0.424524,0.59443475,6.385922353,218.8403,0,9.9411,0.115261,0.271,0.271,0.197,-0.012,0.727,29
Ru2IrSb,Ru,Ir,Sb,l21,0.361136,0.3332485,6.320369312,1007.8503,124.502,11.6578,0.226353,0.594,0.594,0.321,-0.015,1.494,30
Ru2IrSi,Ru,Ir,Si,l21,0.296274,0.071987,6.057920973,934.9291,52.5015,11.5926,0.085165,0.187,0.187,0.24,0.001,0.615,29
Ru2IrSn,Ru,Ir,Sn,l21,0.332434,0.266689,6.305746344,812.6749,0,10.3,0.098428,0.319,0.319,0.298,-0.011,0.925,29
Ru2MnAl,Ru,Mn,Al,l21,1.612044,-0.4145795,5.96244883,160.382,0,10.7855,0.577461,-0.203,-0.203,2.516,0.003,2.113,26
Ru2MnAs,Ru,Mn,As,l21,1.639718,-0.13330675,6.026311886,947.5023,273.002,11.3471,0.904698,0.204,0.204,3.341,0.036,3.785,28
Ru2MnB,Ru,Mn,B,l21,1.925474,0.02547125,5.677414086,40.8698,0,11.3294,0.744717,-0.172,-0.172,2.371,0.031,2.058,26
Ru2MnBi,Ru,Mn,Bi,l21,1.812253,0.22999525,6.362244175,797.7729,240.002,10.6999,0.901103,0.173,0.173,3.569,-0.005,3.91,28
Ru2MnGa,Ru,Mn,Ga,l21,1.631158,-0.28322,5.98133848,105.4505,0,9.5223,0.396407,-0.239,-0.239,2.595,-0.006,2.111,26
Ru2MnGe,Ru,Mn,Ge,l21,1.770294,-0.27562875,5.996583703,23.3263,0,10.7229,0.963117,-0.023,-0.023,2.996,0.015,2.965,27
Ru2MnIn,Ru,Mn,In,l21,0.919315,0.047822,6.221238598,133.2822,0,9.6238,0.82553,-0.354,-0.354,2.915,-0.031,2.176,26
Ru2MnPb,Ru,Mn,Pb,l21,1.652329,0.25279225,6.317853426,125.1523,0,9.8165,0.89914,-0.096,-0.096,3.263,-0.016,3.055,27
Ru2MnSb,Ru,Mn,Sb,l21,1.64178,-0.1253945,6.228209257,973.4224,276.002,11.8319,0.951026,0.205,0.205,3.5,0.006,3.916,28
Ru2MnSi,Ru,Mn,Si,l21,1.880869,-0.4795035,5.902481932,70.5258,0,11.9943,0.959677,-0.002,-0.002,2.928,0.017,2.941,27
Ru2MnSn,Ru,Mn,Sn,l21,1.780654,-0.12215675,6.221061821,67.1641,28.5015,10.198,0.864394,-0.069,-0.069,3.17,-0.01,3.022,27
Ru2MoAl,Ru,Mo,Al,l21,1.468794,-0.301065,6.108678512,4.6392,0,12.2366,0,0,0,0.002,0,0.002,25
Ru2MoAs,Ru,Mo,As,xa,-0.406748,0.20159675,6.157375542,0.0894,0,11.5667,0.002763,0.002,0,0,0,0.002,27
Ru2MoB,Ru,Mo,B,l21,0.825705,0.3673065,5.880001593,26.3628,0,12.4165,0.11607,0.002,0.002,0.037,0.001,0.042,25
Ru2MoBi,Ru,Mo,Bi,xa,-0.026779,0.61790725,6.450158762,46.9539,75.0015,11.3142,0.258327,0.725,0.221,-0.094,0.013,0.865,27
Ru2MoGa,Ru,Mo,Ga,l21,1.230207,-0.13666,6.126446691,3.9253,0,10.9445,0.401361,0.032,0.032,0.284,0.001,0.349,25
Ru2MoGe,Ru,Mo,Ge,l21,0.381988,0.07007,6.150980468,1028.2909,73.5015,11.7039,0.640939,0.371,0.371,0.804,0.01,1.556,26
Ru2MoIn,Ru,Mo,In,l21,1.253316,0.136397,6.322733877,46.2614,0,11.076,0.701091,0.07,0.07,0.453,-0.005,0.588,25
Ru2MoPb,Ru,Mo,Pb,l21,0.582723,0.50612425,6.425701352,603.1292,55.5015,10.9326,0.916876,0.329,0.329,1.214,-0.015,1.857,26
Ru2MoSb,Ru,Mo,Sb,xa,-0.094633,0.2930645,6.337107944,143.5664,114.002,12.2662,0.186754,0.772,0.233,-0.08,0.019,0.944,27
Ru2MoSi,Ru,Mo,Si,l21,0.411681,-0.086228,6.066848903,0.1401,0,12.9826,0.001588,0,0,0.001,0,0.001,26
Ru2MoSn,Ru,Mo,Sn,l21,0.662312,0.1458585,6.336194362,1303.2168,79.5015,11.3922,0.821149,0.388,0.388,0.916,-0.016,1.676,26
Ru2NbAl,Ru,Nb,Al,l21,2.508892,-0.6192335,6.193565267,0.1575,0,9.6887,0.000222,0,0,0,0,0,24
Ru2NbAs,Ru,Nb,As,l21,0.388451,0.016379,6.26815089,52.6987,193.502,10.0653,0.518098,0.611,0.611,0.142,0.078,1.442,26
Ru2NbB,Ru,Nb,B,l21,1.679596,0.07655325,5.963021586,0.0667,0,9.7258,0.001363,0,0,0,0,0,24
Ru2NbBi,Ru,Nb,Bi,l21,0.796182,0.29201,6.544260532,52.8922,225.002,10.1397,0.598904,0.667,0.667,0.281,0.042,1.657,26
Ru2NbGa,Ru,Nb,Ga,l21,2.20299,-0.476414,6.202548352,0.5506,0,8.6977,0.006799,0,0,0,0,0,24
Ru2NbGe,Ru,Nb,Ge,l21,1.332084,-0.24503325,6.216170057,156.7079,78.0015,10.0888,0.748523,0.317,0.317,0.064,0.006,0.704,25
Ru2NbIn,Ru,Nb,In,l21,2.255876,-0.2460265,6.389295252,6.4545,0,9.2413,0.000149,0,0,0,0,0,24
Ru2NbPb,Ru,Nb,Pb,l21,1.397029,0.16232075,6.480420103,218.7709,72.0015,9.6515,0.80956,0.356,0.356,0.085,-0.006,0.791,25
Ru2NbSb,Ru,Nb,Sb,l21,0.864896,-0.01044375,6.418309258,109.0869,243.002,11.1634,0.782674,0.7,0.7,0.228,0.039,1.667,26
Ru2NbSi,Ru,Nb,Si,l21,1.503895,-0.39443925,6.137282396,118.648,27.0015,11.1655,0.399813,0.244,0.244,0.037,0.004,0.529,25
Ru2NbSn,Ru,Nb,Sn,l21,1.63931,-0.19778275,6.396253183,82.0771,0,9.996,0.198829,0.242,0.242,0.042,-0.004,0.522,25
Ru2NiAl,Ru,Ni,Al,l21,0.304785,-0.16757625,5.920275567,8.5273,0,10.5071,0.002079,0.004,0.004,0.005,0,0.013,29
Ru2NiAs,Ru,Ni,As,l21,1.122101,0.0093995,5.941674033,23.0844,0,11.1122,0.000226,0,0,0,0,0,31
Ru2NiB,Ru,Ni,B,l21,1.494043,0.20809775,5.61878362,1.7349,0,11.1056,0.002222,0,0,0.001,0,0.001,29
Ru2NiBi,Ru,Ni,Bi,l21,0.544752,0.4350925,6.29245415,164.1121,201.002,10.5342,0.308477,0.49,0.49,0.769,-0.019,1.73,31
Ru2NiGa,Ru,Ni,Ga,l21,0.391713,-0.04444575,5.93640043,0.766,0,9.1992,0.002654,0.002,0.002,0.001,0,0.005,29
Ru2NiGe,Ru,Ni,Ge,l21,0.894687,-0.06748275,5.937726962,98.864,0,10.3514,0.000604,0.107,0.107,0.175,-0.002,0.387,30
Ru2NiIn,Ru,Ni,In,xa,-0.104909,0.27419375,6.179116247,538.4663,0,9.6382,0.079688,0.22,0.316,0.208,-0.008,0.736,29
Ru2NiPb,Ru,Ni,Pb,l21,0.272201,0.4795735,6.268930122,527.4556,264.002,9.4213,0.063961,0.63,0.63,0.803,-0.015,2.048,30
Ru2NiSb,Ru,Ni,Sb,l21,0.837896,0.07365575,6.158263668,49.7239,210.002,11.6343,0.323713,0.437,0.437,0.738,-0.015,1.597,31
Ru2NiSi,Ru,Ni,Si,l21,1.176205,-0.2816845,5.840795351,93.6132,0,11.6457,0.005445,0.057,0.057,0.108,-0.001,0.221,30
Ru2NiSn,Ru,Ni,Sn,l21,0.407427,0.11582325,6.172702789,969.9336,166.502,9.7984,0.433321,0.516,0.516,0.742,-0.01,1.764,30
Ru2PdAl,Ru,Pd,Al,xa,-0.033145,-0.07190275,6.122689126,302.8592,0,10.8841,0.092125,0.158,0.176,0.038,0.001,0.373,29
Ru2PdAs,Ru,Pd,As,l21,0.749993,0.129017,6.126576799,0.2905,0,11.1557,0,0,0,0,0,0,31
Ru2PdB,Ru,Pd,B,l21,0.765203,0.534959,5.847329017,2.9497,0,11.0338,0,0,0,0,0,0,29
Ru2PdBi,Ru,Pd,Bi,l21,0.3992,0.39578175,6.424014195,10.6074,0,10.7998,0.000766,0,0,0,0,0,31
Ru2PdGa,Ru,Pd,Ga,l21,0.093682,0.04352825,6.112669423,14.4035,0,9.5136,0.000206,0.001,0.001,0,0,0.002,29
Ru2PdGe,Ru,Pd,Ge,l21,0.567555,0.04399525,6.113462797,0.5326,0,10.5889,0.000352,0,0,0,0,0,30
